0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;label
26.0;56.0;28.0;54.0;30.0;53.0;32.0;50.0;33.0;48.0;36.0;44.0;40.0;37.0;42.0;35.0;43.0;32.0;44.0;30.0;46.0;29.0;48.0;24.0;48.0;19.0;46.0;20.0;44.0;22.0;43.0;23.0;42.0;24.0;41.0;28.0;40.0;30.0;39.0;33.0;38.0;39.0;37.0;42.0;35.0;50.0;35.0;54.0;34.0;56.0;34.0;59.0;34.0;62.0;35.0;63.0;36.0;63.0;38.0;63.0;39.0;63.0;40.0;62.0;l
14.0;65.0;16.0;60.0;18.0;57.0;21.0;52.0;23.0;49.0;26.0;46.0;27.0;46.0;28.0;46.0;29.0;45.0;28.0;53.0;27.0;55.0;26.0;59.0;25.0;62.0;26.0;63.0;27.0;62.0;28.0;61.0;32.0;55.0;35.0;49.0;37.0;48.0;38.0;47.0;39.0;46.0;38.0;54.0;37.0;58.0;35.0;68.0;38.0;60.0;39.0;58.0;42.0;54.0;45.0;50.0;46.0;50.0;45.0;56.0;44.0;60.0;45.0;65.0;m
19.0;63.0;21.0;61.0;22.0;59.0;23.0;56.0;24.0;54.0;26.0;50.0;27.0;48.0;31.0;43.0;34.0;41.0;35.0;40.0;35.0;46.0;35.0;51.0;34.0;54.0;34.0;57.0;33.0;59.0;33.0;62.0;35.0;58.0;39.0;49.0;40.0;46.0;42.0;43.0;43.0;41.0;44.0;41.0;45.0;40.0;44.0;45.0;43.0;49.0;43.0;53.0;42.0;56.0;41.0;60.0;42.0;63.0;43.0;62.0;44.0;62.0;46.0;61.0;n
43.0;31.0;41.0;31.0;39.0;31.0;36.0;33.0;34.0;35.0;32.0;37.0;31.0;39.0;29.0;41.0;28.0;43.0;28.0;47.0;28.0;49.0;28.0;52.0;29.0;53.0;30.0;55.0;32.0;57.0;34.0;58.0;37.0;57.0;40.0;54.0;41.0;53.0;42.0;51.0;43.0;48.0;44.0;44.0;44.0;40.0;44.0;35.0;42.0;32.0;40.0;35.0;41.0;36.0;42.0;36.0;43.0;36.0;46.0;36.0;49.0;34.0;52.0;32.0;o
36.0;25.0;37.0;25.0;36.0;28.0;35.0;29.0;35.0;32.0;34.0;35.0;32.0;44.0;31.0;48.0;30.0;53.0;29.0;56.0;29.0;59.0;28.0;61.0;27.0;64.0;27.0;66.0;26.0;67.0;40.0;23.0;42.0;22.0;44.0;22.0;45.0;22.0;45.0;30.0;44.0;32.0;42.0;35.0;41.0;37.0;37.0;39.0;36.0;40.0;35.0;40.0;34.0;40.0;32.0;40.0;30.0;41.0;29.0;42.0;28.0;42.0;27.0;42.0;p
44.0;24.0;42.0;23.0;41.0;23.0;40.0;23.0;38.0;24.0;35.0;28.0;34.0;30.0;34.0;32.0;33.0;33.0;33.0;38.0;33.0;40.0;34.0;44.0;37.0;43.0;38.0;42.0;40.0;40.0;41.0;39.0;42.0;37.0;44.0;33.0;45.0;30.0;45.0;28.0;45.0;23.0;44.0;27.0;43.0;29.0;43.0;32.0;41.0;41.0;41.0;45.0;40.0;50.0;40.0;55.0;39.0;59.0;39.0;67.0;39.0;64.0;39.0;60.0;q
20.0;53.0;22.0;51.0;23.0;50.0;25.0;48.0;26.0;46.0;27.0;44.0;29.0;41.0;30.0;37.0;31.0;34.0;33.0;28.0;35.0;28.0;38.0;29.0;39.0;28.0;40.0;28.0;41.0;28.0;42.0;28.0;43.0;27.0;44.0;27.0;43.0;29.0;41.0;31.0;40.0;33.0;39.0;35.0;39.0;37.0;38.0;38.0;38.0;42.0;39.0;44.0;40.0;45.0;41.0;45.0;42.0;46.0;43.0;46.0;45.0;45.0;48.0;43.0;r
17.0;56.0;21.0;55.0;24.0;52.0;26.0;51.0;27.0;49.0;29.0;48.0;30.0;46.0;32.0;44.0;33.0;43.0;34.0;41.0;35.0;40.0;36.0;38.0;37.0;36.0;39.0;31.0;39.0;28.0;38.0;28.0;38.0;30.0;38.0;35.0;38.0;37.0;39.0;40.0;40.0;42.0;41.0;44.0;42.0;45.0;42.0;47.0;43.0;49.0;43.0;53.0;42.0;54.0;41.0;55.0;40.0;56.0;39.0;56.0;38.0;56.0;38.0;53.0;s
35.0;14.0;36.0;14.0;34.0;16.0;33.0;18.0;32.0;19.0;31.0;23.0;30.0;29.0;29.0;33.0;28.0;36.0;28.0;40.0;27.0;43.0;27.0;46.0;27.0;49.0;27.0;53.0;28.0;53.0;29.0;53.0;30.0;52.0;32.0;51.0;34.0;49.0;36.0;48.0;37.0;47.0;38.0;46.0;40.0;24.0;38.0;24.0;37.0;25.0;35.0;25.0;34.0;26.0;33.0;26.0;30.0;27.0;29.0;27.0;28.0;27.0;27.0;28.0;t
20.0;34.0;23.0;34.0;24.0;32.0;26.0;29.0;28.0;27.0;30.0;25.0;31.0;24.0;32.0;24.0;32.0;31.0;32.0;34.0;31.0;37.0;30.0;42.0;29.0;46.0;30.0;48.0;31.0;48.0;32.0;48.0;34.0;46.0;38.0;42.0;40.0;38.0;41.0;34.0;42.0;31.0;42.0;28.0;44.0;25.0;43.0;26.0;43.0;27.0;42.0;29.0;39.0;42.0;38.0;48.0;38.0;53.0;38.0;56.0;41.0;54.0;44.0;50.0;u
22.0;30.0;24.0;28.0;25.0;27.0;28.0;24.0;30.0;23.0;31.0;27.0;31.0;29.0;31.0;34.0;31.0;37.0;31.0;39.0;31.0;41.0;31.0;43.0;33.0;44.0;36.0;44.0;38.0;43.0;39.0;42.0;40.0;40.0;40.0;37.0;41.0;36.0;41.0;33.0;41.0;31.0;41.0;29.0;41.0;27.0;41.0;25.0;40.0;25.0;40.0;23.0;41.0;23.0;42.0;24.0;45.0;24.0;46.0;25.0;48.0;25.0;50.0;25.0;v
20.0;30.0;22.0;29.0;23.0;28.0;25.0;26.0;27.0;25.0;29.0;25.0;29.0;28.0;29.0;31.0;29.0;34.0;29.0;37.0;28.0;38.0;28.0;41.0;28.0;44.0;28.0;46.0;29.0;47.0;31.0;46.0;34.0;42.0;36.0;39.0;37.0;36.0;38.0;34.0;39.0;30.0;39.0;35.0;38.0;40.0;38.0;45.0;39.0;46.0;42.0;45.0;43.0;42.0;45.0;38.0;45.0;35.0;46.0;32.0;46.0;30.0;50.0;26.0;w
46.0;32.0;46.0;33.0;47.0;33.0;47.0;32.0;47.0;31.0;46.0;31.0;46.0;32.0;45.0;32.0;44.0;34.0;42.0;36.0;40.0;38.0;37.0;43.0;36.0;44.0;34.0;46.0;34.0;47.0;33.0;47.0;45.0;48.0;44.0;47.0;43.0;46.0;42.0;45.0;41.0;44.0;40.0;42.0;38.0;41.0;37.0;39.0;36.0;37.0;34.0;34.0;34.0;33.0;33.0;31.0;32.0;30.0;32.0;28.0;33.0;28.0;34.0;29.0;x
34.0;21.0;36.0;21.0;35.0;21.0;33.0;25.0;32.0;30.0;31.0;32.0;32.0;38.0;33.0;39.0;34.0;39.0;35.0;39.0;36.0;39.0;37.0;38.0;39.0;35.0;42.0;30.0;38.0;50.0;37.0;55.0;36.0;60.0;35.0;64.0;34.0;68.0;33.0;73.0;32.0;74.0;31.0;75.0;29.0;71.0;30.0;63.0;31.0;60.0;32.0;57.0;33.0;54.0;34.0;51.0;35.0;48.0;36.0;46.0;38.0;43.0;44.0;37.0;y
24.0;28.0;27.0;25.0;29.0;23.0;31.0;22.0;32.0;22.0;33.0;23.0;34.0;24.0;36.0;25.0;37.0;26.0;39.0;25.0;40.0;25.0;42.0;23.0;41.0;24.0;39.0;28.0;38.0;30.0;36.0;34.0;35.0;37.0;33.0;43.0;32.0;45.0;31.0;47.0;30.0;48.0;30.0;46.0;31.0;43.0;32.0;42.0;33.0;40.0;36.0;38.0;38.0;38.0;39.0;39.0;40.0;39.0;41.0;40.0;43.0;40.0;46.0;41.0;z
41.0;28.0;43.0;28.0;42.0;27.0;39.0;27.0;38.0;28.0;35.0;29.0;34.0;30.0;32.0;31.0;31.0;34.0;30.0;35.0;30.0;37.0;31.0;38.0;32.0;39.0;34.0;40.0;36.0;40.0;37.0;39.0;39.0;38.0;40.0;37.0;41.0;35.0;43.0;33.0;43.0;31.0;44.0;30.0;44.0;28.0;44.0;26.0;43.0;28.0;42.0;31.0;42.0;33.0;42.0;36.0;43.0;38.0;44.0;39.0;46.0;38.0;48.0;37.0;a
