0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;label
31.0;24.0;30.0;26.0;29.0;27.0;28.0;28.0;27.0;30.0;26.0;32.0;25.0;35.0;24.0;38.0;23.0;42.0;22.0;46.0;22.0;50.0;21.0;54.0;21.0;57.0;20.0;59.0;20.0;62.0;20.0;61.0;21.0;61.0;22.0;61.0;23.0;61.0;26.0;62.0;28.0;63.0;30.0;64.0;32.0;65.0;33.0;66.0;35.0;67.0;37.0;67.0;38.0;67.0;38.0;67.0;38.0;66.0;39.0;66.0;39.0;65.0;39.0;64.0;L
18.0;57.0;19.0;53.0;20.0;50.0;22.0;46.0;24.0;43.0;26.0;39.0;27.0;37.0;31.0;32.0;32.0;30.0;33.0;28.0;34.0;26.0;35.0;25.0;34.0;30.0;34.0;36.0;33.0;40.0;32.0;48.0;33.0;45.0;34.0;43.0;35.0;41.0;36.0;38.0;40.0;32.0;42.0;29.0;43.0;27.0;44.0;26.0;45.0;24.0;45.0;28.0;44.0;30.0;44.0;37.0;43.0;40.0;42.0;45.0;41.0;52.0;42.0;52.0;M
26.0;56.0;28.0;54.0;28.0;52.0;30.0;49.0;31.0;46.0;33.0;43.0;34.0;39.0;36.0;36.0;37.0;35.0;38.0;33.0;39.0;31.0;40.0;29.0;40.0;31.0;40.0;36.0;39.0;38.0;39.0;41.0;39.0;44.0;38.0;48.0;38.0;51.0;38.0;54.0;38.0;57.0;38.0;61.0;39.0;59.0;40.0;57.0;42.0;54.0;43.0;52.0;44.0;49.0;46.0;47.0;47.0;44.0;48.0;42.0;49.0;40.0;50.0;37.0;N
41.0;30.0;42.0;30.0;38.0;30.0;36.0;31.0;34.0;33.0;32.0;35.0;29.0;38.0;27.0;40.0;26.0;42.0;24.0;45.0;23.0;47.0;23.0;50.0;23.0;52.0;24.0;53.0;25.0;55.0;28.0;57.0;29.0;58.0;32.0;59.0;34.0;58.0;37.0;56.0;38.0;53.0;40.0;51.0;41.0;48.0;42.0;44.0;42.0;41.0;43.0;39.0;43.0;36.0;43.0;30.0;42.0;28.0;41.0;27.0;40.0;28.0;39.0;29.0;O
33.0;25.0;34.0;26.0;32.0;29.0;32.0;32.0;31.0;34.0;31.0;38.0;29.0;47.0;29.0;56.0;28.0;61.0;27.0;62.0;27.0;63.0;27.0;61.0;33.0;28.0;33.0;27.0;33.0;26.0;33.0;25.0;34.0;25.0;35.0;25.0;37.0;25.0;39.0;26.0;40.0;27.0;41.0;28.0;41.0;31.0;40.0;33.0;38.0;36.0;34.0;40.0;32.0;42.0;30.0;44.0;28.0;46.0;25.0;47.0;24.0;48.0;24.0;47.0;P
42.0;17.0;41.0;18.0;39.0;19.0;38.0;20.0;36.0;22.0;33.0;25.0;32.0;27.0;31.0;30.0;31.0;32.0;30.0;35.0;31.0;37.0;32.0;40.0;33.0;42.0;35.0;43.0;37.0;44.0;39.0;43.0;41.0;42.0;42.0;40.0;44.0;38.0;46.0;36.0;47.0;34.0;49.0;29.0;50.0;27.0;49.0;19.0;46.0;15.0;44.0;15.0;39.0;36.0;38.0;36.0;38.0;40.0;39.0;46.0;39.0;49.0;41.0;53.0;Q
41.0;18.0;40.0;22.0;39.0;23.0;38.0;26.0;37.0;28.0;36.0;31.0;33.0;42.0;33.0;46.0;31.0;53.0;39.0;19.0;43.0;17.0;44.0;17.0;45.0;17.0;46.0;18.0;45.0;27.0;44.0;29.0;43.0;32.0;42.0;34.0;40.0;37.0;38.0;38.0;37.0;39.0;36.0;39.0;34.0;38.0;34.0;35.0;37.0;32.0;38.0;32.0;39.0;34.0;42.0;38.0;43.0;40.0;44.0;42.0;45.0;45.0;46.0;46.0;R
50.0;18.0;49.0;18.0;48.0;19.0;44.0;21.0;40.0;24.0;37.0;27.0;36.0;28.0;35.0;29.0;35.0;32.0;36.0;33.0;37.0;33.0;38.0;34.0;41.0;34.0;43.0;34.0;46.0;35.0;49.0;35.0;52.0;36.0;53.0;36.0;54.0;37.0;55.0;38.0;56.0;40.0;57.0;42.0;56.0;45.0;54.0;46.0;52.0;47.0;49.0;48.0;43.0;49.0;38.0;49.0;35.0;49.0;32.0;50.0;30.0;49.0;28.0;48.0;S
44.0;22.0;45.0;22.0;45.0;23.0;44.0;24.0;44.0;28.0;43.0;30.0;43.0;32.0;43.0;35.0;42.0;38.0;42.0;41.0;41.0;44.0;41.0;48.0;41.0;50.0;40.0;53.0;40.0;56.0;40.0;55.0;56.0;27.0;56.0;26.0;55.0;26.0;54.0;26.0;53.0;26.0;51.0;26.0;49.0;26.0;46.0;26.0;43.0;27.0;40.0;27.0;38.0;28.0;36.0;29.0;34.0;30.0;33.0;30.0;32.0;31.0;33.0;29.0;T
37.0;23.0;38.0;23.0;37.0;25.0;37.0;28.0;36.0;31.0;36.0;33.0;36.0;36.0;35.0;40.0;35.0;43.0;35.0;46.0;35.0;49.0;35.0;51.0;35.0;55.0;36.0;57.0;37.0;58.0;40.0;58.0;42.0;57.0;44.0;56.0;46.0;54.0;48.0;52.0;50.0;49.0;51.0;46.0;52.0;44.0;52.0;41.0;53.0;39.0;53.0;36.0;53.0;34.0;53.0;32.0;53.0;29.0;53.0;28.0;53.0;24.0;53.0;26.0;U
